,category_list,main_sector
660,User Interface,Others
661,Utilities,Others
662,Vending and Concessions,Others
663,Venture Capital,"Social, Finance, Analytics, Advertising"
664,Veterinary,Health
665,Video,Entertainment
666,Video Conferencing,Entertainment
667,Video Games,Entertainment
668,Video on Demand,Entertainment
669,Video Streaming,Entertainment
670,Virtual Workforces,Entertainment
671,VoIP,Entertainment
672,Waste Management,Cleantech / Semiconductors
673,Watch,Others
674,Water,Cleantech / Semiconductors
675,Water Purification,Cleantech / Semiconductors
676,Wearables,Cleantech / Semiconductors
677,Web Browsers,"News, Search and Messaging"
678,Web Design,"News, Search and Messaging"
679,Web Development,Others
680,Web Hosting,Others
681,Web Tools,Others
682,Weddings,Entertainment
683,Wholesale,Others
684,Wine And Spirits,Entertainment
685,Wireless,Entertainment
686,Women,Others
687,Young Adults,Others
